symbol,name,gics_sector,gics_sub_sector,headquarters,date_added,cik,founded,wikipedia_page,nyse_page,page_content
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",1984-02-29,0000060667,1904/1946/1959,https://en.wikipedia.org/wiki/Lowe%27s,https://www.nyse.com/quote/XNYS:LOW,"Lowe's Companies, Inc. ( LOHZ) is an American retail company specializing in home improvement. Headq"
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Vancouver, Canada",2023-10-18,0001397187,1998,https://en.wikipedia.org/wiki/Lululemon_Athletica,https://www.nasdaq.com/market-activity/stocks/lulu,"Lululemon athletica inc., commonly known as lululemon ( loo-loo-LEM-ən; styled in all lowercase), is"
LYB,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands",2012-09-05,0001489393,2007,https://en.wikipedia.org/wiki/LyondellBasell,https://www.nyse.com/quote/XNYS:LYB,LyondellBasell Industries N.V. is an American multinational chemical company incorporated in the Net
MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",2004-02-23,0000036270,1856,https://en.wikipedia.org/wiki/M%26T_Bank,https://www.nyse.com/quote/XNYS:MTB,M&T Bank Corporation (Manufacturers and Traders Trust Company) is an American bank holding company h
MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1957-03-04,0000101778,1887,https://en.wikipedia.org/wiki/Marathon_Oil,https://www.nyse.com/quote/XNYS:MRO,Marathon Oil Corporation is an American petroleum company that has existed since 1887. Marathon was 
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",2011-07-01,0001510295,2009 (1887),https://en.wikipedia.org/wiki/Marathon_Petroleum,https://www.nyse.com/quote/XNYS:MPC,"Marathon Petroleum Corporation is an American petroleum refining, marketing, and transportation comp"
MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2019-07-01,0001278021,2000,https://en.wikipedia.org/wiki/MarketAxess,https://www.nasdaq.com/market-activity/stocks/mktx,MarketAxess Holdings Inc. is an international financial technology company that operates an electron
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",1998-05-29,0001048286,1927,https://en.wikipedia.org/wiki/Marriott_International,https://www.nasdaq.com/market-activity/stocks/mar,"Marriott International, Inc. is an American multinational company that operates, franchises, and lic"
MMC,Marsh McLennan,Financials,Insurance Brokers,"New York City, New York",1987-08-31,0000062709,1905,https://en.wikipedia.org/wiki/Marsh_McLennan,https://www.nyse.com/quote/XNYS:MMC,"Marsh & McLennan Companies, Inc., doing business as Marsh McLennan, is a global professional service"
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,0000916076,1993,https://en.wikipedia.org/wiki/Martin_Marietta_Materials,https://www.nyse.com/quote/XNYS:MLM,"Martin Marietta Materials, Inc. is an American company and a member of the S&P 500 Index. The compan"
MAS,Masco,Industrials,Building Products,"Livonia, Michigan",1981-06-30,0000062996,1929,https://en.wikipedia.org/wiki/Masco,https://www.nyse.com/quote/XNYS:MAS,Masco Corporation is an American manufacturer of products for the home improvement and new home cons
MA,Mastercard,Financials,Transaction & Payment Processing Services,"Harrison, New York",2008-07-18,0001141391,1966,https://en.wikipedia.org/wiki/Mastercard,https://www.nyse.com/quote/XNYS:MA,"Mastercard Inc. (stylized as MasterCard from 1979 to 2016, mastercard from 2016 to 2019) is an Ameri"
MTCH,Match Group,Communication Services,Interactive Media & Services,"Dallas, Texas",2021-09-20,0000891103,1986,https://en.wikipedia.org/wiki/Match_Group,https://www.nasdaq.com/market-activity/stocks/mtch,"Match Group, Inc. is an American internet and technology company headquartered in Dallas, Texas. It "
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",2003-03-20,0000063754,1889,https://en.wikipedia.org/wiki/McCormick_%26_Company,https://www.nyse.com/quote/XNYS:MKC,"McCormick & Company, Incorporated is an American food company that manufactures, markets, and distri"
MCD,McDonald's,Consumer Discretionary,Restaurants,"Chicago, Illinois",1970-06-30,0000063908,1940,https://en.wikipedia.org/wiki/McDonald%27s,https://www.nyse.com/quote/XNYS:MCD,"McDonald's Corporation, doing business as McDonald's, is an American multinational fast food chain, "
MCK,McKesson Corporation,Health Care,Health Care Distributors,"Irving, Texas",1999-01-13,0000927653,1833,https://en.wikipedia.org/wiki/McKesson_Corporation,https://www.nyse.com/quote/XNYS:MCK,McKesson Corporation is a publicly-traded American company that distributes pharmaceuticals and prov
MDT,Medtronic,Health Care,Health Care Equipment,"Dublin, Ireland",1986-10-31,0001613103,1949,https://en.wikipedia.org/wiki/Medtronic,https://www.nyse.com/quote/XNYS:MDT,Medtronic plc is an American-Irish medical device company. The company's operational and executive h
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,0000310158,1891,https://en.wikipedia.org/wiki/Merck_%26_Co.,https://www.nyse.com/quote/XNYS:MRK,"Merck & Co., Inc. is an American multinational pharmaceutical company headquartered in Rahway, New J"
META,Meta Platforms,Communication Services,Interactive Media & Services,"Menlo Park, California",2013-12-23,0001326801,2004,https://en.wikipedia.org/wiki/Meta_Platforms,https://www.nasdaq.com/market-activity/stocks/meta,"Meta Platforms, Inc., doing business as Meta, and formerly named Facebook, Inc., and TheFacebook, In"
MET,MetLife,Financials,Life & Health Insurance,"New York City, New York",2000-12-11,0001099219,1868,https://en.wikipedia.org/wiki/MetLife,https://www.nyse.com/quote/XNYS:MET,"MetLife, Inc. is the holding corporation for the Metropolitan Life Insurance Company (MLIC), better "
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",2016-09-06,0001037646,1945,https://en.wikipedia.org/wiki/Mettler_Toledo,https://www.nyse.com/quote/XNYS:MTD,METTLER TOLEDO (NYSE: MTD) is a multinational leader in precision instruments and services. The comp
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2017-07-26,0000789570,1986,https://en.wikipedia.org/wiki/MGM_Resorts,https://www.nyse.com/quote/XNYS:MGM,MGM Resorts International is an American  hospitality and entertainment company. It operates resorts
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",2007-09-07,0000827054,1989,https://en.wikipedia.org/wiki/Microchip_Technology,https://www.nasdaq.com/market-activity/stocks/mchp,Microchip  Technology Incorporated is a publicly listed American corporation that manufactures micro
