symbol,name,gics_sector,gics_sub_sector,headquarters,date_added,cik,founded,wikipedia_page,nyse_page,page_content
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Purchase, New York",1957-03-04,0000077476,1898,https://en.wikipedia.org/wiki/PepsiCo,https://www.nasdaq.com/market-activity/stocks/pep,"PepsiCo, Inc. is an American multinational food, snack, and beverage corporation headquartered in Ha"
PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957-03-04,0000078003,1849,https://en.wikipedia.org/wiki/Pfizer,https://www.nyse.com/quote/XNYS:PFE,Pfizer Inc. ( FY-zər) is an American multinational pharmaceutical and biotechnology corporation head
PCG,PG&E Corporation,Utilities,Multi-Utilities,"Oakland, California",2022-10-03,0001004980,1905,https://en.wikipedia.org/wiki/PG%26E,https://www.nyse.com/quote/XNYS:PCG,The Pacific Gas and Electric Company (PG&E) is an American investor-owned utility (IOU). The company
PM,Philip Morris International,Consumer Staples,Tobacco,"New York City, New York",2008-03-31,0001413329,2008 (1847),https://en.wikipedia.org/wiki/Philip_Morris_International,https://www.nyse.com/quote/XNYS:PM,"Philip Morris International Inc. (PMI) is an American multinational tobacco company, with products s"
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",2012-05-01,0001534701,2012 (1917),https://en.wikipedia.org/wiki/Phillips_66,https://www.nyse.com/quote/XNYS:PSX,"The Phillips 66 Company is an American multinational energy company headquartered in Westchase, Hous"
PNW,Pinnacle West,Utilities,Multi-Utilities,"Phoenix, Arizona",1999-10-04,0000764622,1985,https://en.wikipedia.org/wiki/Pinnacle_West,https://www.nyse.com/quote/XNYS:PNW,Pinnacle West Capital Corporation is an American utility holding company that owns Arizona Public Se
PNC,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania",1988-04-30,0000713676,1845,https://en.wikipedia.org/wiki/PNC_Financial_Services,https://www.nyse.com/quote/XNYS:PNC,"The PNC Financial Services Group, Inc. is an American bank holding company and financial services co"
POOL,Pool Corporation,Consumer Discretionary,Distributors,"Covington, Louisiana",2020-10-07,0000945841,1993,https://en.wikipedia.org/wiki/Pool_Corporation,https://www.nasdaq.com/market-activity/stocks/pool,"Pool Corporation, doing business as POOLCORP, is a publicly-traded American company that manufacture"
PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,0000079879,1883,https://en.wikipedia.org/wiki/PPG_Industries,https://www.nyse.com/quote/XNYS:PPG,"PPG Industries, Inc. is an American Fortune 500 company and global supplier of paints, coatings, and"
PPL,PPL Corporation,Utilities,Electric Utilities,"Allentown, Pennsylvania",2001-10-01,0000922224,1920,https://en.wikipedia.org/wiki/PPL_Corporation,https://www.nyse.com/quote/XNYS:PPL,"PPL Corporation is an energy company headquartered in Allentown, Pennsylvania in the Lehigh Valley r"
PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,0001126328,1879,https://en.wikipedia.org/wiki/Principal_Financial_Group,https://www.nasdaq.com/market-activity/stocks/pfg,"Principal Financial Group, Inc. is an American global financial investment management and insurance "
PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",1957-03-04,0000080424,1837,https://en.wikipedia.org/wiki/Procter_%26_Gamble,https://www.nyse.com/quote/XNYS:PG,The Procter & Gamble Company (P&G) is an American multinational consumer goods corporation headquart
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,0000080661,1937,https://en.wikipedia.org/wiki/Progressive_Corporation,https://www.nyse.com/quote/XNYS:PGR,"The Progressive Corporation is an American insurance company. In late 2022, Progressive became the l"
PLD,Prologis,Real Estate,Industrial REITs,"San Francisco, California",2003-07-17,0001045609,1983,https://en.wikipedia.org/wiki/Prologis,https://www.nyse.com/quote/XNYS:PLD,"Prologis, Inc. is a real estate investment trust headquartered in San Francisco, California that inv"
PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",2002-07-22,0001137774,1875,https://en.wikipedia.org/wiki/Prudential_Financial,https://www.nyse.com/quote/XNYS:PRU,"Prudential Financial, Inc. is an American Fortune Global 500 and Fortune 500 company whose subsidiar"
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,0000788784,1903,https://en.wikipedia.org/wiki/Public_Service_Enterprise_Group,https://www.nyse.com/quote/XNYS:PEG,"The Public Service Enterprise Group, Inc. (PSEG) is a publicly traded diversified energy company hea"
PTC,PTC,Information Technology,Application Software,"Boston, Massachusetts",2021-04-20,0000857005,1985,https://en.wikipedia.org/wiki/PTC_(software_company),https://www.nasdaq.com/market-activity/stocks/ptc,PTC Inc. (formerly Parametric Technology Corporation) is a computer software and services company fo
PSA,Public Storage,Real Estate,Self-Storage REITs,"Glendale, California",2005-08-19,0001393311,1972,https://en.wikipedia.org/wiki/Public_Storage,https://www.nyse.com/quote/XNYS:PSA,"Public Storage is an American international self storage company headquartered in Glendale, Californ"
PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984-04-30,0000822416,1956,https://en.wikipedia.org/wiki/PulteGroup,https://www.nyse.com/quote/XNYS:PHM,"PulteGroup, Inc. is an American residential home-construction company based in Atlanta, Georgia, Uni"
QRVO,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina",2015-06-11,0001604778,2015,https://en.wikipedia.org/wiki/Qorvo,https://www.nasdaq.com/market-activity/stocks/qrvo,"Qorvo, Inc. is an American multinational company specializing in products for wireless, wired, and p"
PWR,Quanta Services,Industrials,Construction & Engineering,"Houston, Texas",2009-07-01,0001050915,1997,https://en.wikipedia.org/wiki/Quanta_Services,https://www.nyse.com/quote/XNYS:PWR,"Quanta Services is an American corporation that provides infrastructure services for electric power,"
QCOM,Qualcomm,Information Technology,Semiconductors,"San Diego, California",1999-07-22,0000804328,1985,https://en.wikipedia.org/wiki/Qualcomm,https://www.nasdaq.com/market-activity/stocks/qcom,"Qualcomm Incorporated () is an American multinational corporation headquartered in San Diego, Califo"
DGX,Quest Diagnostics,Health Care,Health Care Services,"Secaucus, New Jersey",2002-12-12,0001022079,1967,https://en.wikipedia.org/wiki/Quest_Diagnostics,https://www.nyse.com/quote/XNYS:DGX,"Quest Diagnostics Incorporated is an American clinical laboratory. A Fortune 500 company, Quest oper"
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",2007-02-02,0001037038,1967,https://en.wikipedia.org/wiki/Ralph_Lauren_Corporation,https://www.nyse.com/quote/XNYS:RL,"Ralph Lauren Corporation,  the legal name of the Ralph Lauren brand, is an American publicly traded "
RJF,Raymond James,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",2017-03-20,0000720005,1962,https://en.wikipedia.org/wiki/Raymond_James,https://www.nyse.com/quote/XNYS:RJF,"Raymond James Financial, Inc. is an American multinational independent investment bank and financial"
RTX,RTX Corporation,Industrials,Aerospace & Defense,"Waltham, Massachusetts",1957-03-04,0000101829,1922,https://en.wikipedia.org/wiki/RTX_Corporation,https://www.nyse.com/quote/XNYS:RTX,"RTX Corporation, formerly Raytheon Technologies Corporation, is an American multinational aerospace "
O,Realty Income,Real Estate,Retail REITs,"San Diego, California",2015-04-07,0000726728,1969,https://en.wikipedia.org/wiki/Realty_Income,https://www.nyse.com/quote/XNYS:O,"Realty Income Corporation is a real estate investment trust that invests in free-standing, single-te"
REG,Regency Centers,Real Estate,Retail REITs,"Jacksonville, Florida",2017-03-02,0000910606,1963,https://en.wikipedia.org/wiki/Regency_Centers,https://www.nasdaq.com/market-activity/stocks/reg,"Regency Centers Corporation is a real estate investment trust based in Jacksonville, Florida and is "
REGN,Regeneron,Health Care,Biotechnology,"Tarrytown, New York",2013-05-01,0000872589,1988,https://en.wikipedia.org/wiki/Regeneron,https://www.nasdaq.com/market-activity/stocks/regn,"Regeneron Pharmaceuticals, Inc. is an American biotechnology company headquartered in Westchester Co"
RF,Regions Financial Corporation,Financials,Regional Banks,"Birmingham, Alabama",1998-08-28,0001281761,1971,https://en.wikipedia.org/wiki/Regions_Financial_Corporation,https://www.nyse.com/quote/XNYS:RF,Regions Financial Corporation is an American bank holding company headquartered in the Regions Cente
RSG,Republic Services,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",2008-12-05,0001060391,1998 (1981),https://en.wikipedia.org/wiki/Republic_Services,https://www.nyse.com/quote/XNYS:RSG,"Republic Services, Inc. is a North American waste disposal company whose services include non-hazard"
RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",2017-07-26,0000943819,1989,https://en.wikipedia.org/wiki/ResMed,https://www.nyse.com/quote/XNYS:RMD,"ResMed Inc. is an American medical equipment company based in San Diego, California. It primarily pr"
RVTY,Revvity,Health Care,Health Care Equipment,"Waltham, Massachusetts",1985-05-31,0000031791,1937,https://en.wikipedia.org/wiki/Revvity,https://www.nyse.com/quote/XNYS:RVTY,"Revvity, Inc. is an American company in the life sciences and diagnostics business that is focused o"
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",2000-03-12,0001024478,1903,https://en.wikipedia.org/wiki/Rockwell_Automation,https://www.nyse.com/quote/XNYS:ROK,"Rockwell Automation, Inc. is an American provider of industrial automation and digital transformatio"
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,"Atlanta, Georgia",2018-10-01,0000084839,1948,"https://en.wikipedia.org/wiki/Rollins,_Inc.",https://www.nyse.com/quote/XNYS:ROL,"Rollins, Inc. is a North American pest control company serving residential and commercial clients. O"
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,"Sarasota, Florida",2009-12-23,0000882835,1981,https://en.wikipedia.org/wiki/Roper_Technologies,https://www.nasdaq.com/market-activity/stocks/rop,"Roper Technologies, Inc. (formerly Roper Industries, Inc.) is an American diversified industrial com"
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Dublin, California",2009-12-21,0000745732,1982,https://en.wikipedia.org/wiki/Ross_Stores,https://www.nasdaq.com/market-activity/stocks/rost,"Ross Stores, Inc., operating under the brand name Ross Dress for Less, is an American chain of disco"
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2014-12-05,0000884887,1997,https://en.wikipedia.org/wiki/Royal_Caribbean_Group,https://www.nyse.com/quote/XNYS:RCL,"Royal Caribbean Group, formerly known as Royal Caribbean Cruises Ltd., is a global cruise holding co"
SPGI,S&P Global,Financials,Financial Exchanges & Data,"New York City, New York",1957-03-04,0000064040,1917,https://en.wikipedia.org/wiki/S%26P_Global,https://www.nyse.com/quote/XNYS:SPGI,"S&P Global Inc. (prior to April 2016 McGraw Hill Financial, Inc., and prior to 2013 The McGraw–Hill "
CRM,Salesforce,Information Technology,Application Software,"San Francisco, California",2008-09-15,0001108524,1999,https://en.wikipedia.org/wiki/Salesforce,https://www.nyse.com/quote/XNYS:CRM,"Salesforce, Inc. is an American cloud-based software company headquartered in San Francisco, Califor"
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,"Boca Raton, Florida",2017-09-01,0001034054,1989,https://en.wikipedia.org/wiki/SBA_Communications,https://www.nasdaq.com/market-activity/stocks/sbac,SBA Communications Corporation is a real estate investment trust which owns and operates wireless in
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1957-03-04,0000087347,1926,https://en.wikipedia.org/wiki/Schlumberger,https://www.nyse.com/quote/XNYS:SLB,"Schlumberger NV (French: [ʃlumbɛʁʒe, ʃlœ̃b-]), doing business as SLB, also known as Schlumberger Lim"
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",2012-07-02,0001137789,1979,https://en.wikipedia.org/wiki/Seagate_Technology,https://www.nasdaq.com/market-activity/stocks/stx,Seagate Technology Holdings plc is an American data storage company. It was incorporated in 1978 as 
SRE,Sempra,Utilities,Multi-Utilities,"San Diego, California",2017-03-17,0001032208,1998,https://en.wikipedia.org/wiki/Sempra,https://www.nyse.com/quote/XNYS:SRE,"Sempra is a North American public utility holding company based in San Diego, California. The compan"
NOW,ServiceNow,Information Technology,Systems Software,"Santa Clara, California",2019-11-21,0001373715,2003,https://en.wikipedia.org/wiki/ServiceNow,https://www.nyse.com/quote/XNYS:NOW,"ServiceNow, Inc. is an American software company based in Santa Clara, California, that develops a c"
SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",1964-06-30,0000089800,1866,https://en.wikipedia.org/wiki/Sherwin-Williams,https://www.nyse.com/quote/XNYS:SHW,"Sherwin-Williams Company is an American company based in Cleveland, Ohio. It is primarily engaged in"
SPG,Simon Property Group,Real Estate,Retail REITs,"Indianapolis, Indiana",2002-06-26,0001063761,2003,https://en.wikipedia.org/wiki/Simon_Property_Group,https://www.nyse.com/quote/XNYS:SPG,"Simon Property Group, Inc. is an American real estate investment trust that invests in shopping mall"
SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Irvine, California",2015-03-12,0000004127,2002,https://en.wikipedia.org/wiki/Skyworks_Solutions,https://www.nasdaq.com/market-activity/stocks/swks,"Skyworks Solutions, Inc. is an American semiconductor company headquartered in Irvine, California, U"
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",2008-11-06,0000091419,1897,https://en.wikipedia.org/wiki/The_J.M._Smucker_Company,https://www.nyse.com/quote/XNYS:SJM,"The J.M. Smucker Company, also known as Smuckers, is an American manufacturer of food and beverage p"
SW,Smurfit WestRock,Materials,Paper & Plastic Packaging Products & Materials,"Dublin, Ireland",2024-07-08,0002005951,1934,https://en.wikipedia.org/wiki/Smurfit_WestRock,https://www.nyse.com/quote/XNYS:SW,"Smurfit Westrock plc is an Irish-American company based in Dublin, Ireland that manufactures corruga"
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",1982-09-30,0000091440,1920,https://en.wikipedia.org/wiki/Snap-on,https://www.nyse.com/quote/XNYS:SNA,"Snap-on Incorporated is an American designer, manufacturer, and marketer of high-end tools and equip"
SOLV,Solventum,Health Care,Health Care Technology,"Saint Paul, Minnesota",2024-04-01,0001964738,2023,https://en.wikipedia.org/wiki/Solventum,https://www.nyse.com/quote/XNYS:SOLV,"Solventum Corporation is an American health care company that was spun off from 3M on April 1, 2024."
SO,Southern Company,Utilities,Electric Utilities,"Atlanta, Georgia",1957-03-04,0000092122,1945,https://en.wikipedia.org/wiki/Southern_Company,https://www.nyse.com/quote/XNYS:SO,Southern Company is an American gas and electric utility holding company based in the Southern Unite
LUV,Southwest Airlines,Industrials,Passenger Airlines,"Dallas, Texas",1994-07-01,0000092380,1967,https://en.wikipedia.org/wiki/Southwest_Airlines,https://www.nyse.com/quote/XNYS:LUV,Southwest Airlines Co. is a major airline in the United States that operates on a low-cost carrier m
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,"New Britain, Connecticut",1982-09-30,0000093556,1843,https://en.wikipedia.org/wiki/Stanley_Black_%26_Decker,https://www.nyse.com/quote/XNYS:SWK,"Stanley Black & Decker, Inc., formerly known as The Stanley Works, is a Fortune 500 American manufac"
SBUX,Starbucks,Consumer Discretionary,Restaurants,"Seattle, Washington",2000-06-07,0000829224,1971,https://en.wikipedia.org/wiki/Starbucks,https://www.nasdaq.com/market-activity/stocks/sbux,Starbucks Corporation is an American multinational chain of coffeehouses and roastery reserves headq
STT,State Street Corporation,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",2003-03-14,0000093751,1792,https://en.wikipedia.org/wiki/State_Street_Corporation,https://www.nyse.com/quote/XNYS:STT,"State Street Corporation (stylized in all caps), is a global financial services and bank holding com"
STLD,Steel Dynamics,Materials,Steel,"Fort Wayne, Indiana",2022-12-22,0001022671,1993,https://en.wikipedia.org/wiki/Steel_Dynamics,https://www.nasdaq.com/market-activity/stocks/stld,"Steel Dynamics, Inc. (SDI) is an American steel producer based in Fort Wayne, Indiana. With a produc"
STE,Steris,Health Care,Health Care Equipment,"Dublin, Ireland",2019-12-23,0001757898,1985,https://en.wikipedia.org/wiki/Steris,https://www.nyse.com/quote/XNYS:STE,Steris plc is an American-Irish-based medical equipment company specializing in sterilization and su
SYK,Stryker Corporation,Health Care,Health Care Equipment,"Kalamazoo, Michigan",2000-12-12,0000310764,1941,https://en.wikipedia.org/wiki/Stryker_Corporation,https://www.nyse.com/quote/XNYS:SYK,Stryker Corporation is an American multinational medical technologies corporation based in Kalamazoo
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",2024-03-18,0001375365,1993,https://en.wikipedia.org/wiki/Supermicro,https://www.nasdaq.com/market-activity/stocks/smci,"Super Micro Computer, Inc., dba Supermicro, is an American information technology company based in S"
SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",2015-11-18,0001601712,2003,https://en.wikipedia.org/wiki/Synchrony_Financial,https://www.nyse.com/quote/XNYS:SYF,Synchrony Financial is an American consumer financial services company with its headquarters in Stam
SNPS,Synopsys,Information Technology,Application Software,"Sunnyvale, California",2017-03-16,0000883241,1986,https://en.wikipedia.org/wiki/Synopsys,https://www.nasdaq.com/market-activity/stocks/snps,"Synopsys, Inc. is an American electronic design automation (EDA) company headquartered in Sunnyvale,"
SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,0000096021,1969,https://en.wikipedia.org/wiki/Sysco,https://www.nyse.com/quote/XNYS:SYY,Sysco Corporation (short for Systems and Services Company) is an American multinational corporation 
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,0001283699,1994,https://en.wikipedia.org/wiki/T-Mobile_US,https://www.nasdaq.com/market-activity/stocks/tmus,"T-Mobile US, Inc. is an American wireless network operator headquartered in Bellevue, Washington. It"
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",2019-07-29,0001113169,1937,https://en.wikipedia.org/wiki/T._Rowe_Price,https://www.nasdaq.com/market-activity/stocks/trow,"T. Rowe Price Group, Inc. is an American publicly owned global investment management firm that offer"
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York City, New York",2018-03-19,0000946581,1993,https://en.wikipedia.org/wiki/Take-Two_Interactive,https://www.nasdaq.com/market-activity/stocks/ttwo,"Take-Two Interactive Software, Inc. is an American video game holding company based in New York City"
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",2004-09-01,0001116132,2017,"https://en.wikipedia.org/wiki/Tapestry,_Inc.",https://www.nyse.com/quote/XNYS:TPR,"Tapestry, Inc. is an American multinational fashion holding company. It is based in New York City an"
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2022-10-12,0001389170,2005,https://en.wikipedia.org/wiki/Targa_Resources,https://www.nyse.com/quote/XNYS:TRGP,"Targa Resources Corp. is a Fortune 500 company based in Houston, Texas. Targa, a midstream energy in"
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota",1976-12-31,0000027419,1902,https://en.wikipedia.org/wiki/Target_Corporation,https://www.nyse.com/quote/XNYS:TGT,Target Corporation is an American retail corporation that operates a chain of discount department st
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",2011-10-17,0001385157,2007,https://en.wikipedia.org/wiki/TE_Connectivity,https://www.nyse.com/quote/XNYS:TEL,TE Connectivity Ltd. is an American Swiss-domiciled technology company that designs and manufactures
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,"Thousand Oaks, California",2020-06-22,0001094285,1960,https://en.wikipedia.org/wiki/Teledyne_Technologies,https://www.nyse.com/quote/XNYS:TDY,"Teledyne Technologies Incorporated is an American industrial conglomerate. It was founded in 1960, a"
TFX,Teleflex,Health Care,Health Care Equipment,"Wayne, Pennsylvania",2019-01-18,0000096943,1943,https://en.wikipedia.org/wiki/Teleflex,https://www.nyse.com/quote/XNYS:TFX,"Teleflex Incorporated, headquartered in Wayne, Pennsylvania, is an American provider of specialty me"
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,"North Reading, Massachusetts",2020-09-21,0000097210,1960,https://en.wikipedia.org/wiki/Teradyne,https://www.nasdaq.com/market-activity/stocks/ter,"Teradyne, Inc., is an American automatic test equipment (ATE) designer and manufacturer based in Nor"
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,"Austin, Texas",2020-12-21,0001318605,2003,"https://en.wikipedia.org/wiki/Tesla,_Inc.",https://www.nasdaq.com/market-activity/stocks/tsla,"Tesla, Inc. ( TESS-lə or  TEZ-lə) is an American multinational automotive and clean energy company. "
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",2001-03-12,0000097476,1930,https://en.wikipedia.org/wiki/Texas_Instruments,https://www.nasdaq.com/market-activity/stocks/txn,Texas Instruments Incorporated (TI) is an American multinational semiconductor company headquartered
TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,0000217346,1923,https://en.wikipedia.org/wiki/Textron,https://www.nyse.com/quote/XNYS:TXT,"Textron Inc. is an American industrial  conglomerate based in Providence, Rhode Island. Textron's su"
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",2004-08-03,0000097745,2006 (1902),https://en.wikipedia.org/wiki/Thermo_Fisher_Scientific,https://www.nyse.com/quote/XNYS:TMO,Thermo Fisher Scientific Inc. is an American-headquartered life science and clinical research compan
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",1985-09-30,0000109198,1987,https://en.wikipedia.org/wiki/TJX_Companies,https://www.nyse.com/quote/XNYS:TJX,"The TJX Companies, Inc. (abbreviated TJX) is an American multinational off-price department store co"
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2014-01-24,0000916365,1938,https://en.wikipedia.org/wiki/Tractor_Supply,https://www.nasdaq.com/market-activity/stocks/tsco,"Tractor Supply Company (also known as TSCO or TSC), founded in 1938, is an American chain that sells"
TT,Trane Technologies,Industrials,Building Products,"Dublin, Ireland",2010-11-17,0001466258,1871,https://en.wikipedia.org/wiki/Trane_Technologies,https://www.nyse.com/quote/XNYS:TT,"Trane Technologies plc is an American-Irish domiciled company focused on heating, ventilation, and a"
TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",2016-06-03,0001260221,1993,https://en.wikipedia.org/wiki/TransDigm_Group,https://www.nyse.com/quote/XNYS:TDG,TransDigm Group Incorporated is an American publicly traded aerospace manufacturing company headquar
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",2002-08-21,0000086312,1853,https://en.wikipedia.org/wiki/The_Travelers_Companies,https://www.nyse.com/quote/XNYS:TRV,"The Travelers Companies, Inc., commonly known as Travelers, is an American insurance company. It is "
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,"Westminster, Colorado",2021-01-21,0000864749,1978,https://en.wikipedia.org/wiki/Trimble_Inc.,https://www.nasdaq.com/market-activity/stocks/trmb,"Trimble Inc. is an American software, hardware, and services technology company. Trimble supports gl"
TFC,Truist,Financials,Regional Banks,"Charlotte, North Carolina",1997-12-04,0000092230,1872,https://en.wikipedia.org/wiki/Truist_Financial,https://www.nyse.com/quote/XNYS:TFC,"Truist Financial Corporation is an American bank holding company headquartered in Charlotte, North C"
TYL,Tyler Technologies,Information Technology,Application Software,"Plano, Texas",2020-06-22,0000860731,1966,https://en.wikipedia.org/wiki/Tyler_Technologies,https://www.nyse.com/quote/XNYS:TYL,"Tyler Technologies, Inc., based in Plano, Texas, is a provider of software to the United States publ"
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2005-08-10,0000100493,1935,https://en.wikipedia.org/wiki/Tyson_Foods,https://www.nyse.com/quote/XNYS:TSN,"Tyson Foods, Inc. is an American multinational corporation based in Springdale, Arkansas that operat"
USB,U.S. Bank,Financials,Diversified Banks,"Minneapolis, Minnesota",1999-11-01,0000036104,1968,https://en.wikipedia.org/wiki/U.S._Bank,https://www.nyse.com/quote/XNYS:USB,"U.S. Bancorp (stylized as us bancorp) is an American bank holding company based in Minneapolis, Minn"
UBER,Uber,Industrials,Passenger Ground Transportation,"San Francisco, California",2023-12-18,0001543151,2009,https://en.wikipedia.org/wiki/Uber,https://www.nyse.com/quote/XNYS:UBER,"Uber Technologies, Inc. is an American multinational transportation company that provides ride-haili"
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,"Highlands Ranch, Colorado",2016-03-07,0000074208,1972,"https://en.wikipedia.org/wiki/UDR,_Inc.",https://www.nyse.com/quote/XNYS:UDR,UDR Inc. (formerly United Dominion Realty) is a publicly traded real estate investment trust that in
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,"Bolingbrook, Illinois",2016-04-18,0001403568,1990,https://en.wikipedia.org/wiki/Ulta_Beauty,https://www.nasdaq.com/market-activity/stocks/ulta,"Ulta Beauty, Inc., formerly known as Ulta Salon, Cosmetics & Fragrance Inc. and before 2000 as Ulta3"
UNP,Union Pacific Corporation,Industrials,Rail Transportation,"Omaha, Nebraska",1957-03-04,0000100885,1862,https://en.wikipedia.org/wiki/Union_Pacific_Corporation,https://www.nyse.com/quote/XNYS:UNP,Union Pacific Corporation is a publicly traded railroad holding company. It was incorporated in Utah
UAL,United Airlines Holdings,Industrials,Passenger Airlines,"Chicago, Illinois",2015-09-03,0000100517,1967,https://en.wikipedia.org/wiki/United_Airlines_Holdings,https://www.nasdaq.com/market-activity/stocks/ual,"United Airlines Holdings, Inc. (formerly known as United Continental Holdings, Inc., UAL Corporation"
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Sandy Springs, Georgia",2002-07-22,0001090727,1907,https://en.wikipedia.org/wiki/United_Parcel_Service,https://www.nyse.com/quote/XNYS:UPS,"United Parcel Service, Inc. (UPS) is an American multinational shipping & receiving and supply chain"
URI,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",2014-09-20,0001067701,1997,https://en.wikipedia.org/wiki/United_Rentals,https://www.nyse.com/quote/XNYS:URI,"United Rentals, Inc (NYSE: URI) is an American equipment rental company, with about 16 percent of th"
UNH,UnitedHealth Group,Health Care,Managed Health Care,"Minnetonka, Minnesota",1994-07-01,0000731766,1977,https://en.wikipedia.org/wiki/UnitedHealth_Group,https://www.nyse.com/quote/XNYS:UNH,UnitedHealth Group Incorporated is an American multinational health insurance and services company b
UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,0000352915,1979,https://en.wikipedia.org/wiki/Universal_Health_Services,https://www.nyse.com/quote/XNYS:UHS,"Universal Health Services, Inc. (UHS) is an American Fortune 500 company  that provides hospital and"
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",2002-12-20,0001035002,1980,https://en.wikipedia.org/wiki/Valero_Energy,https://www.nyse.com/quote/XNYS:VLO,Valero Energy Corporation is an American-based fuels producer mostly involved in manufacturing and m
VTR,Ventas,Real Estate,Health Care REITs,"Chicago, Illinois",2009-03-04,0000740260,1998,https://en.wikipedia.org/wiki/Ventas_(company),https://www.nyse.com/quote/XNYS:VTR,"Ventas, Inc. is a real estate investment trust specializing in the ownership and management of resea"
VLTO,Veralto,Industrials,Environmental & Facilities Services,"Waltham, Massachusetts",2023-10-02,0001967680,2023,https://en.wikipedia.org/wiki/Veralto,https://www.nyse.com/quote/XNYS:VLTO,Danaher Corporation is an American global conglomerate founded in 1984 by brothers Steven and Mitche
